subj,session,trial,rt,object_response,category,condition,imagename
deit_sinsup,1,1,NaN,truck,airplane,NaN,airplane1-bicycle2.png
deit_sinsup,1,2,NaN,clock,airplane,NaN,airplane1-chair2.png
deit_sinsup,1,3,NaN,airplane,airplane,NaN,airplane1-clock1.png
deit_sinsup,1,4,NaN,chair,airplane,NaN,airplane1-elephant1.png
deit_sinsup,1,5,NaN,airplane,airplane,NaN,airplane10-airplane1.png
deit_sinsup,1,6,NaN,cat,airplane,NaN,airplane10-bear3.png
deit_sinsup,1,7,NaN,oven,airplane,NaN,airplane10-boat3.png
deit_sinsup,1,8,NaN,knife,airplane,NaN,airplane10-car3.png
deit_sinsup,1,9,NaN,knife,airplane,NaN,airplane10-cat2.png
deit_sinsup,1,10,NaN,knife,airplane,NaN,airplane10-dog3.png
deit_sinsup,1,11,NaN,airplane,airplane,NaN,airplane10-elephant1.png
deit_sinsup,1,12,NaN,clock,airplane,NaN,airplane10-knife3.png
deit_sinsup,1,13,NaN,airplane,airplane,NaN,airplane10-oven2.png
deit_sinsup,1,14,NaN,car,airplane,NaN,airplane10-truck1.png
deit_sinsup,1,15,NaN,chair,airplane,NaN,airplane2-bear1.png
deit_sinsup,1,16,NaN,oven,airplane,NaN,airplane2-bicycle1.png
deit_sinsup,1,17,NaN,knife,airplane,NaN,airplane2-bird3.png
deit_sinsup,1,18,NaN,boat,airplane,NaN,airplane2-bottle1.png
deit_sinsup,1,19,NaN,chair,airplane,NaN,airplane2-cat1.png
deit_sinsup,1,20,NaN,knife,airplane,NaN,airplane2-dog1.png
deit_sinsup,1,21,NaN,clock,airplane,NaN,airplane3-airplane2.png
deit_sinsup,1,22,NaN,clock,airplane,NaN,airplane3-car1.png
deit_sinsup,1,23,NaN,elephant,airplane,NaN,airplane3-cat1.png
deit_sinsup,1,24,NaN,boat,airplane,NaN,airplane3-chair3.png
deit_sinsup,1,25,NaN,bird,airplane,NaN,airplane3-clock1.png
deit_sinsup,1,26,NaN,bear,airplane,NaN,airplane3-dog1.png
deit_sinsup,1,27,NaN,keyboard,airplane,NaN,airplane3-elephant1.png
deit_sinsup,1,28,NaN,oven,airplane,NaN,airplane3-keyboard2.png
deit_sinsup,1,29,NaN,airplane,airplane,NaN,airplane3-oven1.png
deit_sinsup,1,30,NaN,chair,airplane,NaN,airplane4-airplane1.png
deit_sinsup,1,31,NaN,bear,airplane,NaN,airplane4-bear3.png
deit_sinsup,1,32,NaN,bottle,airplane,NaN,airplane4-bicycle2.png
deit_sinsup,1,33,NaN,cat,airplane,NaN,airplane4-bird3.png
deit_sinsup,1,34,NaN,boat,airplane,NaN,airplane4-boat3.png
deit_sinsup,1,35,NaN,chair,airplane,NaN,airplane4-bottle1.png
deit_sinsup,1,36,NaN,knife,airplane,NaN,airplane4-car1.png
deit_sinsup,1,37,NaN,knife,airplane,NaN,airplane4-cat3.png
deit_sinsup,1,38,NaN,dog,airplane,NaN,airplane4-dog2.png
deit_sinsup,1,39,NaN,knife,airplane,NaN,airplane4-elephant1.png
deit_sinsup,1,40,NaN,chair,airplane,NaN,airplane4-keyboard3.png
deit_sinsup,1,41,NaN,elephant,airplane,NaN,airplane4-knife1.png
deit_sinsup,1,42,NaN,truck,airplane,NaN,airplane4-truck2.png
deit_sinsup,1,43,NaN,cat,airplane,NaN,airplane5-bear2.png
deit_sinsup,1,44,NaN,oven,airplane,NaN,airplane5-bicycle1.png
deit_sinsup,1,45,NaN,airplane,airplane,NaN,airplane5-bird2.png
deit_sinsup,1,46,NaN,airplane,airplane,NaN,airplane5-boat3.png
deit_sinsup,1,47,NaN,airplane,airplane,NaN,airplane5-bottle3.png
deit_sinsup,1,48,NaN,airplane,airplane,NaN,airplane5-chair3.png
deit_sinsup,1,49,NaN,cat,airplane,NaN,airplane5-dog3.png
deit_sinsup,1,50,NaN,truck,airplane,NaN,airplane5-knife1.png
deit_sinsup,1,51,NaN,airplane,airplane,NaN,airplane5-oven3.png
deit_sinsup,1,52,NaN,bird,airplane,NaN,airplane6-bear3.png
deit_sinsup,1,53,NaN,clock,airplane,NaN,airplane6-bottle2.png
deit_sinsup,1,54,NaN,airplane,airplane,NaN,airplane6-chair3.png
deit_sinsup,1,55,NaN,knife,airplane,NaN,airplane6-keyboard3.png
deit_sinsup,1,56,NaN,clock,airplane,NaN,airplane6-knife1.png
deit_sinsup,1,57,NaN,airplane,airplane,NaN,airplane7-airplane3.png
deit_sinsup,1,58,NaN,airplane,airplane,NaN,airplane7-bird3.png
deit_sinsup,1,59,NaN,airplane,airplane,NaN,airplane7-boat2.png
deit_sinsup,1,60,NaN,clock,airplane,NaN,airplane7-bottle3.png
deit_sinsup,1,61,NaN,knife,airplane,NaN,airplane7-car1.png
deit_sinsup,1,62,NaN,knife,airplane,NaN,airplane7-cat3.png
deit_sinsup,1,63,NaN,knife,airplane,NaN,airplane7-clock3.png
deit_sinsup,1,64,NaN,knife,airplane,NaN,airplane7-keyboard1.png
deit_sinsup,1,65,NaN,keyboard,airplane,NaN,airplane7-truck1.png
deit_sinsup,1,66,NaN,oven,airplane,NaN,airplane8-bicycle3.png
deit_sinsup,1,67,NaN,oven,airplane,NaN,airplane8-bird1.png
deit_sinsup,1,68,NaN,keyboard,airplane,NaN,airplane8-chair1.png
deit_sinsup,1,69,NaN,cat,airplane,NaN,airplane8-clock2.png
deit_sinsup,1,70,NaN,airplane,airplane,NaN,airplane8-elephant3.png
deit_sinsup,1,71,NaN,oven,airplane,NaN,airplane8-oven2.png
deit_sinsup,1,72,NaN,airplane,airplane,NaN,airplane8-truck3.png
deit_sinsup,1,73,NaN,airplane,airplane,NaN,airplane9-airplane2.png
deit_sinsup,1,74,NaN,airplane,airplane,NaN,airplane9-boat1.png
deit_sinsup,1,75,NaN,knife,airplane,NaN,airplane9-car2.png
deit_sinsup,1,76,NaN,airplane,airplane,NaN,airplane9-clock1.png
deit_sinsup,1,77,NaN,airplane,airplane,NaN,airplane9-keyboard2.png
deit_sinsup,1,78,NaN,clock,airplane,NaN,airplane9-knife3.png
deit_sinsup,1,79,NaN,oven,airplane,NaN,airplane9-oven2.png
deit_sinsup,1,80,NaN,keyboard,airplane,NaN,airplane9-truck1.png
deit_sinsup,1,81,NaN,bear,bear,NaN,bear1-airplane3.png
deit_sinsup,1,82,NaN,elephant,bear,NaN,bear1-bear3.png
deit_sinsup,1,83,NaN,cat,bear,NaN,bear1-bicycle3.png
deit_sinsup,1,84,NaN,bear,bear,NaN,bear1-bird2.png
deit_sinsup,1,85,NaN,cat,bear,NaN,bear1-chair2.png
deit_sinsup,1,86,NaN,bear,bear,NaN,bear1-clock2.png
deit_sinsup,1,87,NaN,elephant,bear,NaN,bear1-elephant1.png
deit_sinsup,1,88,NaN,cat,bear,NaN,bear10-bear2.png
deit_sinsup,1,89,NaN,dog,bear,NaN,bear10-bottle1.png
deit_sinsup,1,90,NaN,clock,bear,NaN,bear10-car2.png
deit_sinsup,1,91,NaN,cat,bear,NaN,bear10-cat2.png
deit_sinsup,1,92,NaN,chair,bear,NaN,bear10-chair2.png
deit_sinsup,1,93,NaN,dog,bear,NaN,bear10-clock1.png
deit_sinsup,1,94,NaN,bear,bear,NaN,bear10-elephant1.png
deit_sinsup,1,95,NaN,clock,bear,NaN,bear10-keyboard3.png
deit_sinsup,1,96,NaN,clock,bear,NaN,bear10-knife2.png
deit_sinsup,1,97,NaN,chair,bear,NaN,bear10-oven1.png
deit_sinsup,1,98,NaN,chair,bear,NaN,bear10-truck1.png
deit_sinsup,1,99,NaN,bear,bear,NaN,bear2-airplane1.png
deit_sinsup,1,100,NaN,bear,bear,NaN,bear2-bird3.png
deit_sinsup,1,101,NaN,elephant,bear,NaN,bear2-car2.png
deit_sinsup,1,102,NaN,bear,bear,NaN,bear2-cat2.png
deit_sinsup,1,103,NaN,bear,bear,NaN,bear2-dog1.png
deit_sinsup,1,104,NaN,bird,bear,NaN,bear2-elephant1.png
deit_sinsup,1,105,NaN,elephant,bear,NaN,bear2-keyboard2.png
deit_sinsup,1,106,NaN,bear,bear,NaN,bear2-knife2.png
deit_sinsup,1,107,NaN,bear,bear,NaN,bear2-oven1.png
deit_sinsup,1,108,NaN,elephant,bear,NaN,bear3-airplane1.png
deit_sinsup,1,109,NaN,bear,bear,NaN,bear3-bicycle2.png
deit_sinsup,1,110,NaN,bear,bear,NaN,bear3-bird3.png
deit_sinsup,1,111,NaN,bear,bear,NaN,bear3-car2.png
deit_sinsup,1,112,NaN,bear,bear,NaN,bear3-cat1.png
deit_sinsup,1,113,NaN,clock,bear,NaN,bear3-chair2.png
deit_sinsup,1,114,NaN,bear,bear,NaN,bear3-dog3.png
deit_sinsup,1,115,NaN,keyboard,bear,NaN,bear3-keyboard2.png
deit_sinsup,1,116,NaN,chair,bear,NaN,bear3-truck3.png
deit_sinsup,1,117,NaN,bear,bear,NaN,bear4-boat2.png
deit_sinsup,1,118,NaN,truck,bear,NaN,bear4-car3.png
deit_sinsup,1,119,NaN,bear,bear,NaN,bear4-cat3.png
deit_sinsup,1,120,NaN,dog,bear,NaN,bear4-clock3.png
deit_sinsup,1,121,NaN,cat,bear,NaN,bear4-elephant2.png
deit_sinsup,1,122,NaN,dog,bear,NaN,bear4-keyboard3.png
deit_sinsup,1,123,NaN,chair,bear,NaN,bear4-knife1.png
deit_sinsup,1,124,NaN,oven,bear,NaN,bear4-oven2.png
deit_sinsup,1,125,NaN,oven,bear,NaN,bear4-truck3.png
deit_sinsup,1,126,NaN,bear,bear,NaN,bear5-airplane3.png
deit_sinsup,1,127,NaN,dog,bear,NaN,bear5-bicycle3.png
deit_sinsup,1,128,NaN,bear,bear,NaN,bear5-bird1.png
deit_sinsup,1,129,NaN,bear,bear,NaN,bear5-boat2.png
deit_sinsup,1,130,NaN,bear,bear,NaN,bear5-bottle1.png
deit_sinsup,1,131,NaN,elephant,bear,NaN,bear5-chair1.png
